# COSI coordinate transformer output
# OSI2 magnet V2.1
# Date,240822
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
-0.08000,0.08000,-0.04000,-0.04787,-0.00165,0.00025
-0.07000,0.08000,-0.04000,-0.04795,-0.00167,0.00026
-0.06000,0.08000,-0.04000,-0.04802,-0.00172,0.00026
-0.05000,0.08000,-0.04000,-0.04808,-0.00177,0.00026
-0.04000,0.08000,-0.04000,-0.04813,-0.00182,0.00028
-0.03000,0.08000,-0.04000,-0.04816,-0.00187,0.00030
-0.02000,0.08000,-0.04000,-0.04819,-0.00192,0.00033
-0.01000,0.08000,-0.04000,-0.04820,-0.00196,0.00034
0.00000,0.08000,-0.04000,-0.04819,-0.00202,0.00035
0.01000,0.08000,-0.04000,-0.04817,-0.00206,0.00037
0.02000,0.08000,-0.04000,-0.04813,-0.00210,0.00036
0.03000,0.08000,-0.04000,-0.04808,-0.00216,0.00037
0.04000,0.08000,-0.04000,-0.04803,-0.00221,0.00038
0.05000,0.08000,-0.04000,-0.04795,-0.00226,0.00040
0.06000,0.08000,-0.04000,-0.04787,-0.00232,0.00041
0.07000,0.08000,-0.04000,-0.04777,-0.00234,0.00044
0.08000,0.08000,-0.04000,-0.04768,-0.00233,0.00045
0.06000,0.09000,-0.04000,-0.04789,-0.00235,0.00038
0.05000,0.09000,-0.04000,-0.04798,-0.00227,0.00035
0.04000,0.09000,-0.04000,-0.04806,-0.00221,0.00034
0.03000,0.09000,-0.04000,-0.04813,-0.00214,0.00034
0.02000,0.09000,-0.04000,-0.04817,-0.00209,0.00034
0.01000,0.09000,-0.04000,-0.04820,-0.00205,0.00035
0.00000,0.09000,-0.04000,-0.04822,-0.00201,0.00034
-0.01000,0.09000,-0.04000,-0.04823,-0.00198,0.00034
-0.02000,0.09000,-0.04000,-0.04822,-0.00193,0.00031
-0.03000,0.09000,-0.04000,-0.04820,-0.00187,0.00029
-0.04000,0.09000,-0.04000,-0.04817,-0.00183,0.00026
-0.05000,0.09000,-0.04000,-0.04811,-0.00177,0.00024
-0.06000,0.09000,-0.04000,-0.04805,-0.00170,0.00023
-0.05000,0.10000,-0.04000,-0.04816,-0.00177,0.00019
-0.04000,0.10000,-0.04000,-0.04821,-0.00185,0.00024
-0.03000,0.10000,-0.04000,-0.04825,-0.00190,0.00027
-0.02000,0.10000,-0.04000,-0.04827,-0.00195,0.00030
-0.01000,0.10000,-0.04000,-0.04828,-0.00199,0.00033
0.00000,0.10000,-0.04000,-0.04827,-0.00200,0.00035
0.01000,0.10000,-0.04000,-0.04825,-0.00203,0.00035
0.02000,0.10000,-0.04000,-0.04822,-0.00207,0.00034
0.03000,0.10000,-0.04000,-0.04819,-0.00212,0.00031
0.04000,0.10000,-0.04000,-0.04812,-0.00220,0.00030
0.05000,0.10000,-0.04000,-0.04804,-0.00230,0.00028
0.02000,0.11000,-0.04000,-0.04829,-0.00203,0.00034
0.01000,0.11000,-0.04000,-0.04831,-0.00201,0.00038
0.00000,0.11000,-0.04000,-0.04832,-0.00200,0.00038
-0.01000,0.11000,-0.04000,-0.04833,-0.00198,0.00037
-0.02000,0.11000,-0.04000,-0.04832,-0.00197,0.00032
-0.03000,0.11000,-0.03000,-0.04826,-0.00197,0.00034
-0.02000,0.11000,-0.03000,-0.04827,-0.00199,0.00039
-0.01000,0.11000,-0.03000,-0.04827,-0.00198,0.00042
0.00000,0.11000,-0.03000,-0.04826,-0.00199,0.00044
0.01000,0.11000,-0.03000,-0.04825,-0.00200,0.00044
0.02000,0.11000,-0.03000,-0.04824,-0.00200,0.00041
0.03000,0.11000,-0.03000,-0.04822,-0.00203,0.00037
0.05000,0.10000,-0.03000,-0.04803,-0.00220,0.00035
0.04000,0.10000,-0.03000,-0.04810,-0.00213,0.00036
0.03000,0.10000,-0.03000,-0.04815,-0.00207,0.00038
0.02000,0.10000,-0.03000,-0.04819,-0.00204,0.00039
0.01000,0.10000,-0.03000,-0.04822,-0.00201,0.00040
0.00000,0.10000,-0.03000,-0.04823,-0.00199,0.00040
-0.01000,0.10000,-0.03000,-0.04823,-0.00198,0.00038
-0.02000,0.10000,-0.03000,-0.04823,-0.00196,0.00036
-0.03000,0.10000,-0.03000,-0.04821,-0.00193,0.00032
-0.04000,0.10000,-0.03000,-0.04818,-0.00189,0.00029
-0.05000,0.10000,-0.03000,-0.04813,-0.00183,0.00025
-0.07000,0.09000,-0.03000,-0.04793,-0.00172,0.00029
-0.06000,0.09000,-0.03000,-0.04802,-0.00177,0.00027
-0.05000,0.09000,-0.03000,-0.04809,-0.00182,0.00028
-0.04000,0.09000,-0.03000,-0.04813,-0.00187,0.00031
-0.03000,0.09000,-0.03000,-0.04817,-0.00190,0.00033
-0.02000,0.09000,-0.03000,-0.04819,-0.00194,0.00035
-0.01000,0.09000,-0.03000,-0.04820,-0.00197,0.00038
0.00000,0.09000,-0.03000,-0.04819,-0.00199,0.00038
0.01000,0.09000,-0.03000,-0.04818,-0.00202,0.00039
0.02000,0.09000,-0.03000,-0.04815,-0.00206,0.00040
0.03000,0.09000,-0.03000,-0.04811,-0.00209,0.00040
0.04000,0.09000,-0.03000,-0.04805,-0.00214,0.00037
0.05000,0.09000,-0.03000,-0.04798,-0.00219,0.00039
0.06000,0.09000,-0.03000,-0.04788,-0.00224,0.00042
0.07000,0.09000,-0.03000,-0.04778,-0.00228,0.00047
0.08000,0.08000,-0.03000,-0.04765,-0.00224,0.00049
0.07000,0.08000,-0.03000,-0.04775,-0.00224,0.00047
0.06000,0.08000,-0.03000,-0.04785,-0.00221,0.00043
0.05000,0.08000,-0.03000,-0.04794,-0.00218,0.00043
0.04000,0.08000,-0.03000,-0.04801,-0.00213,0.00041
0.03000,0.08000,-0.03000,-0.04807,-0.00209,0.00041
0.02000,0.08000,-0.03000,-0.04811,-0.00206,0.00040
0.01000,0.08000,-0.03000,-0.04815,-0.00202,0.00039
0.00000,0.08000,-0.03000,-0.04816,-0.00199,0.00039
-0.01000,0.08000,-0.03000,-0.04817,-0.00196,0.00037
-0.02000,0.08000,-0.03000,-0.04816,-0.00192,0.00035
-0.03000,0.08000,-0.03000,-0.04814,-0.00189,0.00034
-0.04000,0.08000,-0.03000,-0.04810,-0.00185,0.00030
-0.05000,0.08000,-0.03000,-0.04805,-0.00180,0.00029
-0.06000,0.08000,-0.03000,-0.04798,-0.00177,0.00029
-0.07000,0.08000,-0.03000,-0.04790,-0.00175,0.00028
-0.08000,0.08000,-0.03000,-0.04781,-0.00172,0.00027
-0.09000,0.07000,-0.03000,-0.04768,-0.00169,0.00019
-0.08000,0.07000,-0.03000,-0.04778,-0.00171,0.00024
-0.07000,0.07000,-0.03000,-0.04788,-0.00173,0.00027
-0.06000,0.07000,-0.03000,-0.04795,-0.00177,0.00029
-0.05000,0.07000,-0.03000,-0.04802,-0.00181,0.00031
-0.04000,0.07000,-0.03000,-0.04808,-0.00184,0.00032
-0.03000,0.07000,-0.03000,-0.04811,-0.00188,0.00035
-0.02000,0.07000,-0.03000,-0.04813,-0.00192,0.00036
-0.01000,0.07000,-0.03000,-0.04815,-0.00197,0.00037
0.00000,0.07000,-0.03000,-0.04814,-0.00199,0.00039
0.01000,0.07000,-0.03000,-0.04813,-0.00203,0.00041
0.02000,0.07000,-0.03000,-0.04809,-0.00207,0.00041
0.03000,0.07000,-0.03000,-0.04804,-0.00211,0.00042
0.04000,0.07000,-0.03000,-0.04798,-0.00213,0.00044
0.05000,0.07000,-0.03000,-0.04791,-0.00218,0.00045
0.06000,0.07000,-0.03000,-0.04782,-0.00220,0.00046
0.07000,0.07000,-0.03000,-0.04772,-0.00224,0.00046
0.08000,0.07000,-0.03000,-0.04761,-0.00225,0.00047
0.09000,0.07000,-0.03000,-0.04748,-0.00228,0.00041
0.09000,0.06000,-0.03000,-0.04741,-0.00235,0.00047
0.08000,0.06000,-0.03000,-0.04757,-0.00229,0.00047
0.07000,0.06000,-0.03000,-0.04769,-0.00224,0.00048
0.06000,0.06000,-0.03000,-0.04779,-0.00221,0.00047
0.05000,0.06000,-0.03000,-0.04788,-0.00217,0.00047
0.04000,0.06000,-0.03000,-0.04796,-0.00214,0.00046
0.03000,0.06000,-0.03000,-0.04802,-0.00210,0.00045
0.02000,0.06000,-0.03000,-0.04807,-0.00206,0.00043
0.01000,0.06000,-0.03000,-0.04811,-0.00202,0.00042
0.00000,0.06000,-0.03000,-0.04813,-0.00198,0.00042
-0.01000,0.06000,-0.03000,-0.04813,-0.00196,0.00040
-0.02000,0.06000,-0.03000,-0.04812,-0.00191,0.00038
-0.03000,0.06000,-0.03000,-0.04809,-0.00188,0.00036
-0.04000,0.06000,-0.03000,-0.04806,-0.00184,0.00036
-0.05000,0.06000,-0.03000,-0.04800,-0.00180,0.00033
-0.06000,0.06000,-0.03000,-0.04794,-0.00176,0.00030
-0.07000,0.06000,-0.03000,-0.04785,-0.00173,0.00028
-0.08000,0.06000,-0.03000,-0.04775,-0.00169,0.00024
-0.09000,0.06000,-0.03000,-0.04763,-0.00164,0.00020
-0.10000,0.05000,-0.03000,-0.04745,-0.00154,0.00020
-0.09000,0.05000,-0.03000,-0.04760,-0.00160,0.00024
-0.08000,0.05000,-0.03000,-0.04772,-0.00166,0.00026
-0.07000,0.05000,-0.03000,-0.04782,-0.00171,0.00029
-0.06000,0.05000,-0.03000,-0.04791,-0.00175,0.00032
-0.05000,0.05000,-0.03000,-0.04798,-0.00178,0.00034
-0.04000,0.05000,-0.03000,-0.04804,-0.00183,0.00036
-0.03000,0.05000,-0.03000,-0.04809,-0.00186,0.00038
-0.02000,0.05000,-0.03000,-0.04811,-0.00192,0.00040
-0.01000,0.05000,-0.03000,-0.04812,-0.00195,0.00042
0.00000,0.05000,-0.03000,-0.04811,-0.00198,0.00043
0.01000,0.05000,-0.03000,-0.04809,-0.00203,0.00044
0.02000,0.05000,-0.03000,-0.04806,-0.00207,0.00047
0.03000,0.05000,-0.03000,-0.04801,-0.00209,0.00048
0.04000,0.05000,-0.03000,-0.04794,-0.00213,0.00048
0.05000,0.05000,-0.03000,-0.04787,-0.00218,0.00050
0.06000,0.05000,-0.03000,-0.04777,-0.00221,0.00050
0.07000,0.05000,-0.03000,-0.04767,-0.00225,0.00051
0.08000,0.05000,-0.03000,-0.04754,-0.00229,0.00051
0.09000,0.05000,-0.03000,-0.04738,-0.00235,0.00052
0.10000,0.05000,-0.03000,-0.04720,-0.00242,0.00056
0.10000,0.04000,-0.03000,-0.04721,-0.00237,0.00057
0.09000,0.04000,-0.03000,-0.04738,-0.00233,0.00055
0.08000,0.04000,-0.03000,-0.04752,-0.00229,0.00055
0.07000,0.04000,-0.03000,-0.04766,-0.00225,0.00053
0.06000,0.04000,-0.03000,-0.04777,-0.00221,0.00053
0.05000,0.04000,-0.03000,-0.04787,-0.00217,0.00052
0.04000,0.04000,-0.03000,-0.04794,-0.00213,0.00051
0.03000,0.04000,-0.03000,-0.04800,-0.00209,0.00050
0.02000,0.04000,-0.03000,-0.04805,-0.00206,0.00049
0.01000,0.04000,-0.03000,-0.04809,-0.00203,0.00047
0.00000,0.04000,-0.03000,-0.04811,-0.00198,0.00045
-0.01000,0.04000,-0.03000,-0.04811,-0.00194,0.00045
-0.02000,0.04000,-0.03000,-0.04810,-0.00189,0.00042
-0.03000,0.04000,-0.03000,-0.04807,-0.00186,0.00041
-0.04000,0.04000,-0.03000,-0.04804,-0.00182,0.00038
-0.05000,0.04000,-0.03000,-0.04797,-0.00178,0.00037
-0.06000,0.04000,-0.03000,-0.04791,-0.00173,0.00034
-0.07000,0.04000,-0.03000,-0.04781,-0.00168,0.00033
-0.08000,0.04000,-0.03000,-0.04770,-0.00163,0.00029
-0.09000,0.04000,-0.03000,-0.04757,-0.00158,0.00027
-0.10000,0.04000,-0.03000,-0.04742,-0.00152,0.00024
-0.11000,0.03000,-0.03000,-0.04724,-0.00146,0.00022
-0.10000,0.03000,-0.03000,-0.04741,-0.00151,0.00028
-0.09000,0.03000,-0.03000,-0.04756,-0.00157,0.00031
-0.08000,0.03000,-0.03000,-0.04769,-0.00162,0.00032
-0.07000,0.03000,-0.03000,-0.04781,-0.00168,0.00035
-0.06000,0.03000,-0.03000,-0.04790,-0.00172,0.00037
-0.05000,0.03000,-0.03000,-0.04798,-0.00177,0.00040
-0.04000,0.03000,-0.03000,-0.04804,-0.00180,0.00041
-0.03000,0.03000,-0.03000,-0.04808,-0.00186,0.00043
-0.02000,0.03000,-0.03000,-0.04811,-0.00189,0.00045
-0.01000,0.03000,-0.03000,-0.04812,-0.00194,0.00046
-0.00000,0.03000,-0.03000,-0.04812,-0.00199,0.00048
0.01000,0.03000,-0.03000,-0.04809,-0.00202,0.00050
0.02000,0.03000,-0.03000,-0.04806,-0.00206,0.00051
0.03000,0.03000,-0.03000,-0.04801,-0.00210,0.00052
0.04000,0.03000,-0.03000,-0.04795,-0.00215,0.00054
0.05000,0.03000,-0.03000,-0.04787,-0.00218,0.00055
0.06000,0.03000,-0.03000,-0.04777,-0.00222,0.00055
0.07000,0.03000,-0.03000,-0.04766,-0.00225,0.00057
0.08000,0.03000,-0.03000,-0.04753,-0.00230,0.00057
0.09000,0.03000,-0.03000,-0.04738,-0.00233,0.00058
0.10000,0.03000,-0.03000,-0.04721,-0.00238,0.00058
0.11000,0.03000,-0.03000,-0.04702,-0.00241,0.00054
0.11000,0.02000,-0.03000,-0.04703,-0.00249,0.00057
0.10000,0.02000,-0.03000,-0.04723,-0.00241,0.00060
0.09000,0.02000,-0.03000,-0.04739,-0.00235,0.00062
0.08000,0.02000,-0.03000,-0.04754,-0.00231,0.00061
0.07000,0.02000,-0.03000,-0.04768,-0.00226,0.00061
0.06000,0.02000,-0.03000,-0.04778,-0.00221,0.00059
0.05000,0.02000,-0.03000,-0.04788,-0.00218,0.00058
0.04000,0.02000,-0.03000,-0.04796,-0.00213,0.00057
0.03000,0.02000,-0.03000,-0.04802,-0.00210,0.00056
0.02000,0.02000,-0.03000,-0.04807,-0.00206,0.00054
0.01000,0.02000,-0.03000,-0.04811,-0.00201,0.00052
-0.00000,0.02000,-0.03000,-0.04813,-0.00197,0.00051
-0.01000,0.02000,-0.03000,-0.04813,-0.00194,0.00050
-0.02000,0.02000,-0.03000,-0.04812,-0.00189,0.00047
-0.03000,0.02000,-0.03000,-0.04809,-0.00185,0.00046
-0.04000,0.02000,-0.03000,-0.04805,-0.00180,0.00044
-0.05000,0.02000,-0.03000,-0.04798,-0.00177,0.00043
-0.06000,0.02000,-0.03000,-0.04791,-0.00172,0.00041
-0.07000,0.02000,-0.03000,-0.04781,-0.00166,0.00038
-0.08000,0.02000,-0.03000,-0.04770,-0.00161,0.00037
-0.09000,0.02000,-0.03000,-0.04756,-0.00155,0.00033
-0.10000,0.02000,-0.03000,-0.04740,-0.00148,0.00032
-0.11000,0.02000,-0.03000,-0.04722,-0.00140,0.00028
-0.11000,0.01000,-0.03000,-0.04723,-0.00138,0.00035
-0.10000,0.01000,-0.03000,-0.04742,-0.00147,0.00036
-0.09000,0.01000,-0.03000,-0.04758,-0.00154,0.00039
-0.08000,0.01000,-0.03000,-0.04772,-0.00160,0.00040
-0.07000,0.01000,-0.03000,-0.04783,-0.00166,0.00041
-0.06000,0.01000,-0.03000,-0.04793,-0.00171,0.00042
-0.05000,0.01000,-0.03000,-0.04800,-0.00175,0.00045
-0.04000,0.01000,-0.03000,-0.04806,-0.00181,0.00046
-0.03000,0.01000,-0.03000,-0.04811,-0.00185,0.00049
-0.02000,0.01000,-0.03000,-0.04814,-0.00189,0.00051
-0.01000,0.01000,-0.03000,-0.04815,-0.00193,0.00052
-0.00000,0.01000,-0.03000,-0.04815,-0.00198,0.00053
0.01000,0.01000,-0.03000,-0.04813,-0.00202,0.00055
0.02000,0.01000,-0.03000,-0.04809,-0.00206,0.00056
0.03000,0.01000,-0.03000,-0.04805,-0.00210,0.00059
0.04000,0.01000,-0.03000,-0.04798,-0.00213,0.00059
0.05000,0.01000,-0.03000,-0.04790,-0.00218,0.00062
0.06000,0.01000,-0.03000,-0.04781,-0.00222,0.00063
0.07000,0.01000,-0.03000,-0.04770,-0.00227,0.00063
0.08000,0.01000,-0.03000,-0.04757,-0.00232,0.00064
0.09000,0.01000,-0.03000,-0.04742,-0.00237,0.00065
0.10000,0.01000,-0.03000,-0.04726,-0.00244,0.00064
0.11000,0.01000,-0.03000,-0.04707,-0.00252,0.00063
0.11000,-0.00000,-0.03000,-0.04712,-0.00254,0.00067
0.10000,-0.00000,-0.03000,-0.04730,-0.00245,0.00069
0.09000,-0.00000,-0.03000,-0.04746,-0.00238,0.00069
0.08000,-0.00000,-0.03000,-0.04761,-0.00232,0.00068
0.07000,-0.00000,-0.03000,-0.04774,-0.00227,0.00067
0.06000,-0.00000,-0.03000,-0.04785,-0.00222,0.00066
0.05000,-0.00000,-0.03000,-0.04795,-0.00218,0.00065
0.04000,-0.00000,-0.03000,-0.04802,-0.00214,0.00062
0.03000,-0.00000,-0.03000,-0.04808,-0.00208,0.00062
0.02000,-0.00000,-0.03000,-0.04813,-0.00205,0.00059
0.01000,-0.00000,-0.03000,-0.04816,-0.00202,0.00056
-0.00000,-0.00000,-0.03000,-0.04818,-0.00196,0.00056
-0.01000,-0.00000,-0.03000,-0.04818,-0.00192,0.00054
-0.02000,-0.00000,-0.03000,-0.04817,-0.00189,0.00051
-0.03000,-0.00000,-0.03000,-0.04814,-0.00184,0.00051
-0.04000,-0.00000,-0.03000,-0.04809,-0.00180,0.00049
-0.05000,-0.00000,-0.03000,-0.04803,-0.00176,0.00048
-0.06000,-0.00000,-0.03000,-0.04796,-0.00171,0.00046
-0.07000,0.00000,-0.03000,-0.04786,-0.00166,0.00044
-0.08000,0.00000,-0.03000,-0.04775,-0.00160,0.00044
-0.09000,0.00000,-0.03000,-0.04762,-0.00154,0.00043
-0.10000,0.00000,-0.03000,-0.04746,-0.00148,0.00042
-0.11000,0.00000,-0.03000,-0.04727,-0.00138,0.00040
-0.11000,-0.01000,-0.03000,-0.04734,-0.00139,0.00045
-0.10000,-0.01000,-0.03000,-0.04751,-0.00149,0.00045
-0.09000,-0.01000,-0.03000,-0.04767,-0.00156,0.00046
-0.08000,-0.01000,-0.03000,-0.04780,-0.00161,0.00046
-0.07000,-0.01000,-0.03000,-0.04791,-0.00167,0.00048
-0.06000,-0.01000,-0.03000,-0.04800,-0.00171,0.00047
-0.05000,-0.01000,-0.03000,-0.04807,-0.00175,0.00049
-0.04000,-0.01000,-0.03000,-0.04813,-0.00180,0.00051
-0.03000,-0.01000,-0.03000,-0.04818,-0.00184,0.00053
-0.02000,-0.01000,-0.03000,-0.04821,-0.00188,0.00054
-0.01000,-0.01000,-0.03000,-0.04822,-0.00193,0.00056
-0.00000,-0.01000,-0.03000,-0.04821,-0.00196,0.00058
0.01000,-0.01000,-0.03000,-0.04820,-0.00201,0.00060
0.02000,-0.01000,-0.03000,-0.04816,-0.00204,0.00061
0.03000,-0.01000,-0.03000,-0.04812,-0.00209,0.00063
0.04000,-0.01000,-0.03000,-0.04806,-0.00212,0.00065
0.05000,-0.01000,-0.03000,-0.04798,-0.00217,0.00066
0.06000,-0.01000,-0.03000,-0.04789,-0.00221,0.00069
0.07000,-0.01000,-0.03000,-0.04779,-0.00227,0.00070
0.08000,-0.01000,-0.03000,-0.04766,-0.00232,0.00072
0.09000,-0.01000,-0.03000,-0.04752,-0.00239,0.00074
0.10000,-0.01000,-0.03000,-0.04735,-0.00248,0.00075
0.11000,-0.01000,-0.03000,-0.04716,-0.00262,0.00074
0.11000,-0.02000,-0.03000,-0.04724,-0.00261,0.00088
0.10000,-0.02000,-0.03000,-0.04743,-0.00247,0.00083
0.09000,-0.02000,-0.03000,-0.04759,-0.00238,0.00078
0.08000,-0.02000,-0.03000,-0.04773,-0.00231,0.00077
0.07000,-0.02000,-0.03000,-0.04785,-0.00226,0.00073
0.06000,-0.02000,-0.03000,-0.04795,-0.00220,0.00072
0.05000,-0.02000,-0.03000,-0.04804,-0.00216,0.00069
0.04000,-0.02000,-0.03000,-0.04812,-0.00212,0.00067
0.03000,-0.02000,-0.03000,-0.04817,-0.00208,0.00065
0.02000,-0.02000,-0.03000,-0.04822,-0.00204,0.00063
0.01000,-0.02000,-0.03000,-0.04825,-0.00200,0.00061
-0.00000,-0.02000,-0.03000,-0.04826,-0.00196,0.00059
-0.01000,-0.02000,-0.03000,-0.04827,-0.00192,0.00058
-0.02000,-0.02000,-0.03000,-0.04825,-0.00188,0.00056
-0.03000,-0.02000,-0.03000,-0.04823,-0.00184,0.00055
-0.04000,-0.02000,-0.03000,-0.04818,-0.00180,0.00053
-0.05000,-0.02000,-0.03000,-0.04812,-0.00176,0.00052
-0.06000,-0.02000,-0.03000,-0.04805,-0.00171,0.00051
-0.07000,-0.02000,-0.03000,-0.04796,-0.00166,0.00051
-0.08000,-0.02000,-0.03000,-0.04785,-0.00162,0.00049
-0.09000,-0.02000,-0.03000,-0.04773,-0.00157,0.00050
-0.10000,-0.02000,-0.03000,-0.04759,-0.00150,0.00048
-0.11000,-0.02000,-0.03000,-0.04742,-0.00141,0.00050
-0.11000,-0.03000,-0.03000,-0.04752,-0.00144,0.00052
-0.10000,-0.03000,-0.03000,-0.04768,-0.00152,0.00052
-0.09000,-0.03000,-0.03000,-0.04781,-0.00157,0.00051
-0.08000,-0.03000,-0.03000,-0.04792,-0.00162,0.00052
-0.07000,-0.03000,-0.03000,-0.04803,-0.00168,0.00052
-0.06000,-0.03000,-0.03000,-0.04812,-0.00173,0.00052
-0.05000,-0.03000,-0.03000,-0.04819,-0.00176,0.00054
-0.04000,-0.03000,-0.03000,-0.04824,-0.00181,0.00054
-0.03000,-0.03000,-0.03000,-0.04828,-0.00184,0.00056
-0.02000,-0.03000,-0.03000,-0.04831,-0.00188,0.00057
-0.01000,-0.03000,-0.03000,-0.04832,-0.00192,0.00059
-0.00000,-0.03000,-0.03000,-0.04832,-0.00196,0.00061
0.01000,-0.03000,-0.03000,-0.04830,-0.00200,0.00062
0.02000,-0.03000,-0.03000,-0.04827,-0.00204,0.00065
0.03000,-0.03000,-0.03000,-0.04823,-0.00208,0.00067
0.04000,-0.03000,-0.03000,-0.04817,-0.00210,0.00070
0.05000,-0.03000,-0.03000,-0.04811,-0.00215,0.00072
0.06000,-0.03000,-0.03000,-0.04802,-0.00220,0.00074
0.07000,-0.03000,-0.03000,-0.04793,-0.00224,0.00077
0.08000,-0.03000,-0.03000,-0.04781,-0.00229,0.00080
0.09000,-0.03000,-0.03000,-0.04768,-0.00235,0.00083
0.10000,-0.03000,-0.03000,-0.04753,-0.00241,0.00088
0.11000,-0.03000,-0.03000,-0.04737,-0.00250,0.00099
0.10000,-0.04000,-0.03000,-0.04766,-0.00236,0.00092
0.09000,-0.04000,-0.03000,-0.04779,-0.00232,0.00088
0.08000,-0.04000,-0.03000,-0.04790,-0.00228,0.00083
0.07000,-0.04000,-0.03000,-0.04801,-0.00222,0.00079
0.06000,-0.04000,-0.03000,-0.04810,-0.00218,0.00076
0.05000,-0.04000,-0.03000,-0.04818,-0.00213,0.00074
0.04000,-0.04000,-0.03000,-0.04824,-0.00210,0.00071
0.03000,-0.04000,-0.03000,-0.04830,-0.00206,0.00068
0.02000,-0.04000,-0.03000,-0.04833,-0.00203,0.00066
0.01000,-0.04000,-0.03000,-0.04836,-0.00199,0.00064
-0.00000,-0.04000,-0.03000,-0.04838,-0.00196,0.00062
-0.01000,-0.04000,-0.03000,-0.04837,-0.00193,0.00061
-0.02000,-0.04000,-0.03000,-0.04837,-0.00189,0.00060
-0.03000,-0.04000,-0.03000,-0.04834,-0.00185,0.00057
-0.04000,-0.04000,-0.03000,-0.04830,-0.00180,0.00057
-0.05000,-0.04000,-0.03000,-0.04825,-0.00177,0.00055
-0.06000,-0.04000,-0.03000,-0.04818,-0.00173,0.00055
-0.07000,-0.04000,-0.03000,-0.04810,-0.00169,0.00054
-0.08000,-0.04000,-0.03000,-0.04801,-0.00164,0.00054
-0.09000,-0.04000,-0.03000,-0.04790,-0.00159,0.00055
-0.10000,-0.04000,-0.03000,-0.04777,-0.00153,0.00053
-0.10000,-0.05000,-0.03000,-0.04787,-0.00153,0.00057
-0.09000,-0.05000,-0.03000,-0.04799,-0.00161,0.00056
-0.08000,-0.05000,-0.03000,-0.04809,-0.00166,0.00056
-0.07000,-0.05000,-0.03000,-0.04818,-0.00170,0.00056
-0.06000,-0.05000,-0.03000,-0.04825,-0.00174,0.00056
-0.05000,-0.05000,-0.03000,-0.04832,-0.00178,0.00056
-0.04000,-0.05000,-0.03000,-0.04837,-0.00182,0.00057
-0.03000,-0.05000,-0.03000,-0.04840,-0.00184,0.00057
-0.02000,-0.05000,-0.03000,-0.04843,-0.00188,0.00059
-0.01000,-0.05000,-0.03000,-0.04844,-0.00191,0.00062
-0.00000,-0.05000,-0.03000,-0.04844,-0.00195,0.00063
0.01000,-0.05000,-0.03000,-0.04843,-0.00199,0.00065
0.02000,-0.05000,-0.03000,-0.04841,-0.00203,0.00067
0.03000,-0.05000,-0.03000,-0.04837,-0.00206,0.00070
0.04000,-0.05000,-0.03000,-0.04831,-0.00210,0.00072
0.05000,-0.05000,-0.03000,-0.04826,-0.00213,0.00075
0.06000,-0.05000,-0.03000,-0.04819,-0.00217,0.00078
0.07000,-0.05000,-0.03000,-0.04811,-0.00219,0.00082
0.08000,-0.05000,-0.03000,-0.04801,-0.00223,0.00087
0.09000,-0.05000,-0.03000,-0.04791,-0.00229,0.00092
0.10000,-0.05000,-0.03000,-0.04778,-0.00235,0.00097
0.09000,-0.06000,-0.03000,-0.04804,-0.00223,0.00096
0.08000,-0.06000,-0.03000,-0.04812,-0.00219,0.00087
0.07000,-0.06000,-0.03000,-0.04821,-0.00217,0.00081
0.06000,-0.06000,-0.03000,-0.04828,-0.00213,0.00078
0.05000,-0.06000,-0.03000,-0.04834,-0.00211,0.00074
0.04000,-0.06000,-0.03000,-0.04839,-0.00207,0.00072
0.03000,-0.06000,-0.03000,-0.04844,-0.00204,0.00070
0.02000,-0.06000,-0.03000,-0.04847,-0.00202,0.00067
0.01000,-0.06000,-0.03000,-0.04849,-0.00198,0.00064
-0.00000,-0.06000,-0.03000,-0.04850,-0.00194,0.00063
-0.01000,-0.06000,-0.03000,-0.04850,-0.00192,0.00061
-0.02000,-0.06000,-0.03000,-0.04850,-0.00189,0.00060
-0.03000,-0.06000,-0.03000,-0.04847,-0.00185,0.00059
-0.04000,-0.06000,-0.03000,-0.04844,-0.00181,0.00057
-0.05000,-0.06000,-0.03000,-0.04839,-0.00177,0.00056
-0.06000,-0.06000,-0.03000,-0.04834,-0.00173,0.00055
-0.07000,-0.06000,-0.03000,-0.04827,-0.00171,0.00055
-0.08000,-0.06000,-0.03000,-0.04818,-0.00167,0.00056
-0.09000,-0.06000,-0.03000,-0.04810,-0.00164,0.00058
-0.09000,-0.07000,-0.03000,-0.04820,-0.00169,0.00057
-0.08000,-0.07000,-0.03000,-0.04828,-0.00171,0.00055
-0.07000,-0.07000,-0.03000,-0.04835,-0.00173,0.00053
-0.06000,-0.07000,-0.03000,-0.04841,-0.00175,0.00054
-0.05000,-0.07000,-0.03000,-0.04847,-0.00179,0.00056
-0.04000,-0.07000,-0.03000,-0.04851,-0.00182,0.00057
-0.03000,-0.07000,-0.03000,-0.04854,-0.00185,0.00058
-0.02000,-0.07000,-0.03000,-0.04856,-0.00189,0.00060
-0.01000,-0.07000,-0.03000,-0.04857,-0.00191,0.00060
-0.00000,-0.07000,-0.03000,-0.04857,-0.00194,0.00063
0.01000,-0.07000,-0.03000,-0.04856,-0.00197,0.00065
0.02000,-0.07000,-0.03000,-0.04854,-0.00202,0.00067
0.03000,-0.07000,-0.03000,-0.04851,-0.00203,0.00071
